step,demand_adjustment
0,-0.1260
1,0.0066
2,0.7334
3,0.0761
4,-0.6924
5,-0.3747
6,0.5259
7,0.4660
8,0.4952
9,-0.0423
10,0.0070
11,-0.3225
12,0.3900
13,-0.3970
14,-0.6318
15,0.4547
16,0.2523
17,0.5142
18,0.8229
19,0.9983
20,0.5888
21,-0.7055
22,-0.7167
23,-0.6769
24,-0.7986
25,-0.1123
26,0.8628
27,-0.0722
28,-0.6320
29,-0.7790
30,-0.2217
31,0.5682
32,0.0017
33,-0.1509
34,-0.3850
35,0.4961
36,0.5445
37,0.2095
38,-0.2163
39,-0.6332
40,-0.3927
41,-0.0344
42,-0.0527
43,-0.3155
44,-0.8713
45,0.3918
46,-0.1329
47,-0.5045
48,-0.2494
49,-0.4997
50,0.3997
51,-0.4098
52,-0.8780
53,-0.9353
54,-0.7369
55,-0.2475
56,0.3942
57,0.7908
58,-0.0144
59,0.4289
60,0.4547
61,-0.7965
62,0.6227
63,-0.4361
64,-0.6645
65,0.1577
66,0.1307
67,0.0763
68,0.0994
69,-0.2565
70,-0.1626
71,-0.4209
72,0.4258
73,0.8554
74,-0.1393
75,-0.1384
76,-0.3721
77,0.4528
78,0.1044
79,0.3080
80,0.0211
81,-0.4057
82,0.4428
83,-0.3487
84,-0.9977
85,-0.9910
86,-0.0106
87,0.3184
88,-0.6400
89,-1.0000
90,-0.4116
91,-0.4380
92,0.3979
93,0.2526
94,0.6333
95,0.4390
96,0.8767
97,-0.4348
98,-0.5362
99,-0.6160
100,-0.8325
101,-0.4921
102,0.6597
103,-0.0868
104,0.5389
105,0.8975
106,-0.7916
107,-0.3283
108,0.5347
109,-0.0026
110,0.2520
111,0.4798
112,0.6564
113,-0.5316
114,0.1962
115,-0.3687
116,-0.2865
117,0.5662
118,0.5240
119,-0.5097
120,0.3295
121,-0.2888
122,-0.0142
123,0.6652
124,0.5073
125,0.2998
126,0.4257
127,-0.7921
128,-0.0712
129,-0.1735
130,-0.4331
131,-0.2187
132,0.0900
133,0.6381
134,-0.5476
135,0.2584
136,0.5018
137,0.0607
138,-0.0274
139,-0.8758
140,-0.2243
141,-0.1752
142,0.7682
143,0.0714
144,0.5848
145,-0.7860
146,-0.1929
147,0.6186
148,-0.3936
149,0.0264
150,0.3274
151,0.8850
152,-0.3594
153,0.7348
154,-0.6187
155,-0.8939
156,-0.1931
157,0.4825
158,0.0290
159,-0.2557
160,-0.2648
161,0.0766
162,0.7405
163,-0.6186
164,-0.8102
165,-0.1266
166,-0.8867
167,0.2858
168,-0.2481
169,-0.5839
170,0.7310
171,0.4180
172,0.7630
173,0.0231
174,-0.5104
175,0.2925
176,-0.0570
177,0.2033
178,-0.1579
179,0.0598
180,-0.4713
181,0.4667
182,0.1214
183,-0.9673
184,0.1959
185,0.5294
186,0.2213
187,0.3521
188,0.4124
189,-0.4460
190,0.0744
191,0.9333
192,0.9965
193,-0.5980
194,0.5047
195,-0.2076
196,-0.8334
197,0.4603
198,-0.2671
199,-0.9407
200,0.1172
201,0.5850
202,0.2422
203,-0.1416
204,-0.7063
205,-0.1934
206,-0.3229
207,-0.0740
208,0.1745
209,-0.2492
210,0.2417
211,-0.2097
212,0.4451
213,-0.1402
214,-0.2140
215,-0.2736
216,-0.9818
217,-0.2876
218,0.9618
219,0.5684
220,0.3426
221,0.4467
222,-0.3548
223,-0.0186
224,0.3803
225,-0.4478
226,0.4535
227,-0.3975
228,-0.1910
229,0.0621
230,-0.0493
231,0.0186
232,0.3518
233,0.0129
234,-0.2459
235,-0.4793
236,0.2745
237,0.1358
238,-0.1665
239,-0.1583
240,0.6566
241,0.2355
242,-0.1084
243,-0.7642
244,-0.1987
245,-0.1773
246,-0.1565
247,0.5031
248,-0.4129
249,0.0186
250,-0.0911
251,-0.1385
252,-0.1757
253,-0.1096
254,0.8360
255,-0.0486
256,0.1819
257,-0.8364
258,-0.1943
259,0.1952
260,-0.1668
261,-0.5843
262,0.0029
263,0.1041
264,0.7487
265,-0.4340
266,-0.2412
267,-0.0007
268,-0.0606
269,0.6015
270,0.1605
271,0.6075
272,-0.7868
273,-0.0724
274,0.8787
275,-0.4190
276,0.1127
277,-0.1628
278,0.0462
279,0.6879
280,0.7695
281,-0.5983
282,-0.1165
283,0.3195
284,-0.2927
285,-0.7493
286,-0.1462
287,0.6519
