step,demand_adjustment
0,0.2472
1,0.4963
2,0.6255
3,0.4635
4,-0.3435
5,0.0691
6,0.4636
7,-0.4038
8,-0.3874
9,0.3736
10,0.0365
11,-0.2193
12,0.1197
13,-0.0572
14,-0.4915
15,-0.1017
16,-0.7937
17,0.2509
18,0.7206
19,-0.5580
20,-0.9003
21,-0.4237
22,0.2563
23,0.3553
24,0.5292
25,0.5592
26,0.8687
27,-0.2453
28,-0.7411
29,0.4584
30,0.6010
31,-0.5516
32,0.0218
33,0.6954
34,-0.4813
35,0.3362
36,0.2475
37,0.3654
38,-0.1964
39,-0.8490
40,-0.9313
41,-0.0783
42,0.7261
43,0.7321
44,-0.4291
45,-0.3881
46,0.2245
47,0.2785
48,1.0014
49,0.7308
50,-0.4368
51,-0.1725
52,-0.5392
53,-0.5674
54,-0.9988
55,-0.5711
56,-0.1987
57,0.3878
58,-0.1032
59,-0.0947
60,-0.0238
61,0.2177
62,0.5660
63,-0.1383
64,0.0359
65,-0.3703
66,0.7216
67,0.1247
68,-0.3833
69,0.0301
70,0.6951
71,0.0075
72,0.9997
73,0.1937
74,-0.6677
75,-0.6473
76,-0.8855
77,-0.3323
78,0.5132
79,-0.2040
80,-0.1477
81,0.5188
82,0.3948
83,-0.2704
84,-0.4904
85,-0.9035
86,-0.4706
87,0.7311
88,0.0891
89,-0.0831
90,0.8031
91,-0.2177
92,-0.7373
93,-0.5334
94,0.0792
95,0.8885
96,0.2776
97,0.3288
98,0.8383
99,-0.3637
100,0.4116
101,-0.4057
102,0.4981
103,0.5281
104,-0.0412
105,0.0297
106,-0.0983
107,0.3116
108,0.5911
109,-0.4918
110,0.0752
111,0.3480
112,0.6355
113,-0.6451
114,-0.6961
115,-0.4385
116,-0.8032
117,-0.5100
118,0.1032
119,0.4149
120,-0.1950
121,0.8495
122,0.5494
123,-0.2767
124,-0.5478
125,0.2394
126,0.5202
127,0.7492
128,0.1110
129,-0.6928
130,0.2193
131,-0.4079
132,-0.3668
133,0.1630
134,-0.4447
135,0.7425
136,0.2064
137,-0.3286
138,-0.4147
139,-0.4767
140,0.6397
141,0.4233
142,-0.3183
143,-0.7703
144,0.6940
145,0.2525
146,-0.9821
147,-0.4808
148,0.3913
149,-0.2624
150,0.9272
151,0.2305
152,-0.7203
153,-0.7855
154,-0.3492
155,-0.0292
156,-0.0537
157,0.6347
158,0.5175
159,0.3358
160,-0.1107
161,-0.5861
162,0.0050
163,-0.3141
164,0.1173
165,0.4261
166,0.5708
167,-0.5562
168,-0.9970
169,-0.9734
170,0.8529
171,-0.1419
172,0.0411
173,0.8494
174,-0.1631
175,-0.2208
176,-0.6815
177,-0.1717
178,0.8209
179,-0.8566
180,-0.9990
181,-0.9996
182,0.2243
183,-0.6444
184,-0.8050
185,0.9795
186,-0.4923
187,-0.8961
188,0.7464
189,-0.2983
190,-0.0119
191,0.6518
192,-0.5388
193,0.5505
194,-0.6154
195,0.4385
196,0.3382
197,0.3657
198,0.0608
199,0.3144
200,0.3488
201,0.3246
202,-0.4427
203,-0.9136
204,-0.9981
205,-0.9999
206,-0.9998
207,-0.1714
208,0.1803
209,-0.3554
210,-0.3518
211,-0.5620
212,0.8908
213,0.4552
214,0.6624
215,0.2064
216,-0.9398
217,0.2210
218,0.3742
219,-0.0551
220,0.9133
221,0.2594
222,0.2925
223,-0.5560
224,-0.4508
225,0.5833
226,0.3114
227,-0.8997
228,-0.0763
229,-0.1487
230,-0.5670
231,0.0755
232,0.6191
233,-0.6503
234,0.5118
235,-0.0046
236,-0.1062
237,0.8137
238,-0.4514
239,0.3426
240,0.7944
241,-0.1280
242,-0.5519
243,-0.6217
244,-0.4135
245,-0.3635
246,-0.0661
247,0.2401
248,-0.6097
249,0.0266
250,-0.4381
251,-0.0165
252,-0.6108
253,0.0956
254,0.4673
255,0.6075
256,-0.9729
257,-0.3453
258,-0.2930
259,-0.6250
260,-0.5197
261,0.1828
262,-0.1126
263,-0.5774
264,-0.5913
265,0.8997
266,0.3197
267,0.2653
268,-0.1640
269,-0.7771
270,0.3021
271,0.5544
272,-0.2095
273,0.3345
274,-0.5339
275,-0.3061
276,0.1690
277,-0.3979
278,-0.8623
279,-0.7209
280,-0.9755
281,0.7064
282,-0.5584
283,-0.9987
284,0.4128
285,-0.1388
286,0.4498
287,-0.4382
