step,demand_adjustment
0,0.9489
1,-0.5435
2,-0.9999
3,-0.8202
4,0.8648
5,0.6498
6,-0.2920
7,0.3514
8,0.5993
9,-0.3644
10,-0.5490
11,0.2626
12,0.9041
13,-0.2560
14,-1.0000
15,0.0821
16,0.8414
17,-0.0193
18,0.9201
19,0.0997
20,-0.1756
21,0.0478
22,-0.2883
23,-0.4095
24,-0.6119
25,-0.3534
26,0.7340
27,0.2693
28,-1.0000
29,-0.5301
30,0.2938
31,0.8971
32,-0.2002
33,-0.2133
34,0.2722
35,-0.5833
36,0.0403
37,0.2679
38,0.4350
39,0.3373
40,-0.2392
41,0.2329
42,0.3904
43,0.1239
44,0.0621
45,-0.3948
46,-0.3199
47,-0.0147
48,0.9949
49,0.6734
50,0.3423
51,0.0441
52,-0.8872
53,-0.3368
54,-0.0758
55,-0.1665
56,0.5315
57,-0.1110
58,-0.3500
59,0.3306
60,0.5253
61,-0.6829
62,-0.4782
63,-0.2482
64,-0.1597
65,0.2098
66,-0.0864
67,-0.2292
68,0.3049
69,0.0446
70,0.2472
71,-0.0040
72,0.4632
73,-0.1312
74,0.3373
75,0.7116
76,-0.4068
77,-0.6885
78,-0.4483
79,-0.8935
80,-0.1072
81,0.5773
82,-0.0745
83,0.3598
84,0.8427
85,0.8940
86,-0.7671
87,-0.0613
88,-0.8032
89,-0.9435
90,-0.9290
91,-0.9991
92,-0.7038
93,-0.6161
94,0.9128
95,0.4713
96,0.2043
97,-0.2101
98,0.8694
99,-0.0415
100,-0.2273
101,-0.1712
102,-0.2271
103,-0.8376
104,-1.0000
105,-0.8174
106,-0.7594
107,0.2789
108,0.9898
109,0.4967
110,-0.6062
111,-0.8736
112,0.0462
113,0.8442
114,-0.4253
115,0.0375
116,0.5226
117,0.7236
118,0.8720
119,-0.5240
120,-0.1651
121,0.9109
122,0.3443
123,-0.0919
124,-0.1962
125,-0.4666
126,-0.3415
127,-0.2524
128,0.2850
129,0.2892
130,-0.3359
131,-0.5126
132,-0.1637
133,0.8179
134,-0.0472
135,-0.4839
136,0.6322
137,0.8053
138,-0.5270
139,0.3048
140,-0.1555
141,-0.6873
142,0.1924
143,-0.3553
144,-0.1240
145,-0.6264
146,0.6733
147,0.9059
148,0.7447
149,-0.3869
150,-0.7008
151,-0.8299
152,0.1690
153,0.5662
154,-0.1093
155,-0.4280
156,-0.2570
157,0.3835
158,0.2081
159,0.7931
160,0.2391
161,0.0751
162,-0.7680
163,0.5623
164,-0.4372
165,-0.5242
166,0.4571
167,-0.0601
168,-0.4888
169,0.1482
170,0.7174
171,0.4719
172,0.9320
173,0.9751
174,-0.4715
175,-0.8506
176,0.1985
177,-0.4343
178,0.3372
179,-0.4514
180,-0.9990
181,-0.9999
182,-0.8309
183,0.6617
184,-0.1297
185,0.8915
186,0.4744
187,-0.6118
188,0.1100
189,0.5062
190,0.4447
191,0.7976
192,0.9985
193,0.5280
194,-0.8898
195,-0.7609
196,-0.9823
197,-0.9337
198,-0.9986
199,0.3095
200,0.9880
201,0.7374
202,0.2043
203,-0.8200
204,-0.6629
205,-0.7415
206,-0.0055
207,0.9024
208,0.6372
209,-0.3369
210,0.4187
211,-0.5230
212,0.1806
213,-0.0685
214,0.1308
215,-0.1433
216,-0.7737
217,0.2999
218,0.3550
219,0.2943
220,0.2142
221,0.0635
222,0.3618
223,0.2266
224,0.2375
225,-0.4914
226,-0.6363
227,0.2897
228,0.3701
229,-0.1348
230,-0.4918
231,0.2003
232,-0.1145
233,-0.5359
234,0.1914
235,0.3963
236,0.6161
237,0.2362
238,-0.3848
239,0.1330
240,0.8406
241,-0.2419
242,-0.5835
243,-0.6721
244,-0.4087
245,-0.2211
246,0.5480
247,-0.0948
248,-0.1807
249,-0.2413
250,0.3332
251,0.2671
252,0.9075
253,-0.0568
254,-0.2169
255,-0.4574
256,-0.2579
257,-0.7309
258,-0.3011
259,-0.0032
260,-0.2590
261,0.7553
262,0.4758
263,-0.0832
264,0.5937
265,0.0981
266,-0.0581
267,-0.0813
268,-0.3523
269,-0.6101
270,-0.6541
271,-0.9980
272,-0.3784
273,0.8689
274,0.2970
275,-0.9405
276,0.1391
277,0.8749
278,0.3033
279,0.0586
280,-0.0281
281,-0.7729
282,0.5279
283,0.2711
284,0.3030
285,0.0503
286,0.7007
287,-0.3112
