step,demand_adjustment
0,1140.8004
1,1119.097
2,1117.0706
3,1106.2861
4,1110.5836
5,1104.8162
6,1096.6733
7,1095.8221
8,1103.2429
9,1073.9197
10,1081.54
11,1086.0046
12,1081.2839
13,1074.3503
14,1089.9595
15,1077.1519
16,1069.6912
17,1061.1031
18,1061.654
19,1056.678
20,1051.9574
21,1072.1821
22,1043.3689
23,1066.7928
24,1047.2108
25,1058.1068
26,1059.3577
27,1045.6729
28,1037.8318
29,1041.1461
30,1049.3545
31,1054.9652
32,1045.8646
33,1038.8484
34,1035.8374
35,1039.404
36,1048.208
37,1033.0236
38,1042.2316
39,1037.3291
40,1039.8064
41,1039.4524
42,1027.8877
43,1036.1749
44,1029.1768
45,1026.6875
46,1028.245
47,1022.0398
48,1034.4525
49,1030.5037
50,1049.218
51,1037.3192
52,1031.8173
53,1049.9047
54,1042.0691
55,1044.1685
56,1052.1517
57,1053.5194
58,1064.9753
59,1072.7925
60,1068.0178
61,1065.1704
62,1070.6157
63,1067.8856
64,1104.3057
65,1088.0485
66,1113.8351
67,1112.7625
68,1102.0657
69,1142.8348
70,1151.7605
71,1153.1631
72,1115.0304
73,1159.8665
74,1181.1377
75,1191.5244
76,1234.5797
77,1234.9382
78,1221.7971
79,1237.0383
80,1200.8713
81,1237.9135
82,1223.6764
83,1248.0745
84,1261.2183
85,1233.4572
86,1263.1023
87,1236.5935
88,1247.8999
89,1228.2119
90,1233.4412
91,1220.0048
92,1208.0989
93,1207.8947
94,1204.7119
95,1192.1245
96,1171.0889
97,1144.3821
98,1139.9829
99,1139.4905
100,1116.4924
101,1116.3104
102,1094.9231
103,1105.0995
104,1064.6893
105,1064.8513
106,1052.0116
107,1048.9725
108,1026.1805
109,1020.0146
110,1008.4851
111,988.7886
112,983.4022
113,970.091
114,977.826
115,958.8483
116,953.1752
117,940.6912
118,941.7619
119,942.7288
120,934.4966
121,938.2406
122,921.7637
123,898.4534
124,932.0927
125,938.2344
126,897.8997
127,893.4573
128,924.1944
129,910.4028
130,929.5885
131,921.4268
132,917.6828
133,905.6729
134,909.1592
135,909.0013
136,934.4713
137,919.3958
138,901.1567
139,944.0674
140,916.7965
141,930.3237
142,936.7941
143,916.6276
144,918.7578
145,906.2007
146,904.3619
147,907.0324
148,911.7073
149,897.921
150,916.1779
151,901.7507
152,913.9847
153,916.926
154,912.4802
155,898.6242
156,897.0693
157,883.3665
158,884.0103
159,895.9711
160,899.6364
161,866.6599
162,912.5885
163,894.6354
164,876.8635
165,897.3652
166,886.9471
167,888.3787
168,901.9072
169,924.7859
170,930.7146
171,920.432
172,913.791
173,921.0173
174,917.2653
175,906.2233
176,910.3882
177,897.7535
178,898.6986
179,908.9858
180,921.985
181,915.9791
182,932.304
183,926.3704
184,930.5822
185,941.762
186,938.7661
187,955.4295
188,950.5614
189,980.6194
190,977.101
191,976.0487
192,992.8006
193,1020.0313
194,992.6425
195,1005.9535
196,1011.9401
197,1045.3468
198,1051.649
199,1051.3374
200,1082.4019
201,1086.6707
202,1106.2429
203,1119.5453
204,1132.8948
205,1165.9761
206,1194.3923
207,1197.7478
208,1211.1222
209,1229.1552
210,1243.934
211,1255.5831
212,1284.7228
213,1286.5682
214,1299.5297
215,1330.6785
216,1336.7566
217,1353.2686
218,1359.1101
219,1381.1249
220,1391.0848
221,1401.0675
222,1406.5143
223,1409.7659
224,1419.8944
225,1423.8713
226,1415.3739
227,1429.7136
228,1430.4421
229,1430.7611
230,1428.3661
231,1444.0278
232,1449.3685
233,1449.8436
234,1437.8154
235,1445.1168
236,1434.6074
237,1437.5333
238,1449.0369
239,1445.3694
240,1451.1311
241,1435.9604
242,1438.7623
243,1449.7708
244,1424.6881
245,1411.7063
246,1414.2714
247,1401.234
248,1387.6827
249,1383.4346
250,1400.7081
251,1363.0573
252,1355.4839
253,1366.7957
254,1348.2211
255,1353.4199
256,1351.7872
257,1343.4644
258,1337.8773
259,1338.248
260,1311.6921
261,1322.3811
262,1319.7385
263,1287.445
264,1294.9563
265,1293.3688
266,1287.1558
267,1270.8247
268,1277.8867
269,1266.9985
270,1252.5359
271,1234.262
272,1245.3617
273,1242.043
274,1226.4983
275,1223.6248
276,1231.916
277,1215.6115
278,1203.0906
279,1187.8424
280,1183.0972
281,1184.8157
282,1175.1593
283,1177.1019
284,1165.2644
285,1155.8433
286,1127.2848
287,1127.5911
