step,demand_adjustment
0,1195.8923
1,1211.582
2,1204.3114
3,1217.0916
4,1201.3353
5,1186.6436
6,1178.685
7,1176.3009
8,1169.8004
9,1166.9856
10,1176.4252
11,1168.5638
12,1181.0398
13,1187.9625
14,1158.8976
15,1143.4408
16,1159.4589
17,1143.2617
18,1135.9851
19,1142.931
20,1132.9243
21,1120.7993
22,1120.4872
23,1115.3665
24,1137.6123
25,1108.4878
26,1129.8448
27,1120.5529
28,1124.561
29,1114.6934
30,1126.0834
31,1115.5011
32,1119.0112
33,1119.6598
34,1118.1809
35,1109.8528
36,1131.9034
37,1113.246
38,1124.1581
39,1116.349
40,1108.2753
41,1116.3467
42,1113.8933
43,1115.5283
44,1120.1406
45,1107.7897
46,1111.7435
47,1118.7455
48,1096.9341
49,1105.4368
50,1110.6323
51,1113.1301
52,1114.4575
53,1126.1128
54,1105.8204
55,1118.148
56,1122.0713
57,1112.2258
58,1120.4132
59,1118.9631
60,1134.206
61,1143.9218
62,1139.6876
63,1154.7252
64,1160.8357
65,1153.0266
66,1155.801
67,1169.5767
68,1177.0115
69,1183.7908
70,1196.8281
71,1215.078
72,1218.7742
73,1244.4824
74,1254.3444
75,1242.9022
76,1261.5796
77,1274.7479
78,1255.0338
79,1289.3922
80,1290.3656
81,1262.5115
82,1280.7043
83,1305.1373
84,1306.2416
85,1297.0924
86,1318.1595
87,1304.463
88,1311.4789
89,1313.3188
90,1304.9501
91,1287.8978
92,1291.9802
93,1274.1351
94,1265.1669
95,1253.9156
96,1243.4169
97,1245.9614
98,1233.0072
99,1225.7202
100,1217.8157
101,1188.587
102,1169.8055
103,1164.7231
104,1160.1333
105,1147.1545
106,1125.7351
107,1113.1318
108,1099.9796
109,1086.614
110,1099.6844
111,1083.9344
112,1066.4955
113,1070.6384
114,1066.7592
115,1065.2174
116,1062.7153
117,1061.1486
118,1032.0094
119,1024.1765
120,1029.6705
121,1030.8414
122,1026.5703
123,1008.6614
124,995.8131
125,1018.6154
126,1005.071
127,1004.9652
128,982.941
129,985.769
130,996.2022
131,980.5304
132,980.0931
133,969.9885
134,971.9379
135,987.5786
136,974.931
137,966.3648
138,964.9387
139,964.1459
140,961.7499
141,986.1996
142,983.8209
143,989.5155
144,974.4735
145,993.8899
146,984.2581
147,990.1683
148,992.4401
149,996.2669
150,1011.6732
151,991.546
152,999.8104
153,1001.4607
154,991.1117
155,1012.9694
156,1029.1644
157,1010.9972
158,1023.6075
159,1014.7481
160,1015.4028
161,1030.5413
162,1027.1976
163,1045.5426
164,1030.5082
165,1046.9409
166,1085.7589
167,1041.6261
168,1051.8345
169,1063.4594
170,1064.162
171,1067.0627
172,1069.0292
173,1070.0886
174,1075.0197
175,1078.8575
176,1075.8242
177,1084.0916
178,1079.5565
179,1098.3076
180,1090.2517
181,1093.4481
182,1101.4313
183,1108.862
184,1108.6014
185,1116.1587
186,1114.3846
187,1126.2825
188,1124.1068
189,1112.1993
190,1144.3235
191,1165.6067
192,1182.846
193,1160.7272
194,1200.8357
195,1189.6375
196,1198.6661
197,1198.5239
198,1214.2168
199,1234.0696
200,1249.35
201,1246.3058
202,1264.0402
203,1261.788
204,1280.3676
205,1305.7666
206,1320.6757
207,1321.8351
208,1365.9636
209,1357.2352
210,1382.045
211,1397.8495
212,1409.5151
213,1405.7172
214,1431.5017
215,1440.979
216,1463.2946
217,1470.6704
218,1487.9589
219,1505.8811
220,1522.0013
221,1546.8285
222,1557.1693
223,1573.9766
224,1568.0664
225,1595.4308
226,1597.6301
227,1607.7507
228,1627.6405
229,1596.9672
230,1622.5042
231,1632.3135
232,1637.89
233,1634.6569
234,1636.5599
235,1643.3636
236,1640.0837
237,1622.0607
238,1643.0209
239,1639.4926
240,1632.554
241,1633.6659
242,1640.3837
243,1620.6589
244,1627.8077
245,1616.3207
246,1609.1161
247,1600.3029
248,1618.3383
249,1610.614
250,1611.1239
251,1636.7252
252,1581.7708
253,1562.0868
254,1560.363
255,1561.4828
256,1538.8821
257,1533.4448
258,1524.2014
259,1528.5519
260,1512.964
261,1518.7809
262,1503.3181
263,1478.2927
264,1491.468
265,1463.8156
266,1464.2234
267,1461.7402
268,1439.9849
269,1428.9314
270,1415.396
271,1411.5486
272,1395.8805
273,1399.0426
274,1379.4426
275,1373.1458
276,1375.3759
277,1348.7559
278,1343.0751
279,1348.8989
280,1336.9512
281,1321.3549
282,1308.1079
283,1313.7175
284,1294.4465
285,1295.724
286,1275.0586
287,1273.0306
288,1282.4266
289,1280.5616
290,1249.4924
291,1258.977
292,1262.5002
293,1237.7704
294,1245.7705
295,1227.6741
296,1220.5247
297,1219.8528
