step,demand_adjustment
0,1153.5592
1,1138.258
2,1157.3477
3,1124.7682
4,1140.3326
5,1117.3093
6,1126.1484
7,1121.8126
8,1121.7977
9,1112.6276
10,1097.384
11,1101.6409
12,1098.0533
13,1105.2909
14,1103.3003
15,1100.0005
16,1093.2412
17,1085.7792
18,1088.1626
19,1085.839
20,1083.5165
21,1077.8424
22,1078.227
23,1081.5264
24,1063.1003
25,1065.2454
26,1062.5824
27,1064.7534
28,1065.3667
29,1065.0519
30,1044.9436
31,1052.4388
32,1057.7838
33,1026.7623
34,1055.3657
35,1046.4872
36,1066.5676
37,1041.7886
38,1051.5361
39,1058.277
40,1056.028
41,1046.7905
42,1045.1022
43,1058.264
44,1043.672
45,1054.8024
46,1036.4897
47,1041.6035
48,1062.8301
49,1051.2515
50,1051.4854
51,1048.1992
52,1065.8633
53,1053.4679
54,1059.604
55,1048.9741
56,1055.7046
57,1056.4154
58,1058.5955
59,1055.2748
60,1055.8256
61,1036.8027
62,1059.4463
63,1071.542
64,1069.5524
65,1066.8904
66,1056.0729
67,1069.778
68,1077.716
69,1083.002
70,1072.9321
71,1071.0184
72,1083.9757
73,1102.5833
74,1076.4725
75,1091.8116
76,1102.995
77,1107.8491
78,1104.9481
79,1121.3788
80,1118.1821
81,1113.5802
82,1104.4703
83,1111.4971
84,1102.828
85,1113.7903
86,1104.0864
87,1129.2305
88,1118.5457
89,1134.3152
90,1124.6287
91,1121.547
92,1126.6062
93,1116.761
94,1154.6676
95,1127.8964
96,1104.2711
97,1117.2584
98,1111.3918
99,1096.1028
100,1093.411
101,1062.961
102,1059.517
103,1053.215
104,1043.627
105,1044.5055
106,1045.2639
107,1028.4779
108,1018.2598
109,1011.104
110,1007.0959
111,990.359
112,987.5679
113,970.2476
114,973.9578
115,975.8279
116,972.1451
117,958.1964
118,941.5662
119,941.7455
120,937.1202
121,928.3626
122,942.4655
123,941.7197
124,940.2269
125,921.9107
126,907.1912
127,904.9029
128,890.6647
129,867.7177
130,892.9317
131,870.1849
132,878.6509
133,895.8045
134,907.4578
135,916.0221
136,917.5971
137,923.9417
138,929.7749
139,927.3912
140,950.944
141,943.0256
142,980.2894
143,986.2696
144,997.2814
145,992.6282
146,1006.9033
147,1008.6335
148,977.9382
149,990.4925
150,975.9426
151,978.5633
152,932.5772
153,949.2402
154,968.7968
155,988.4667
156,989.2351
157,997.0163
158,1016.07
159,1015.7875
160,1021.736
161,1039.7532
162,1038.9028
163,1035.1901
164,1044.3162
165,1055.885
166,1053.6938
167,1051.0547
168,1076.3925
169,1063.6007
170,1046.1603
171,1074.3666
172,1062.2758
173,1080.043
174,1060.387
175,1071.8113
176,1099.343
177,1091.9475
178,1090.6207
179,1094.9988
180,1119.6483
181,1116.5132
182,1070.2224
183,1134.9502
184,1134.1758
185,1144.616
186,1140.5505
187,1162.3706
188,1181.3502
189,1190.7151
190,1204.0278
191,1222.2708
192,1215.2703
193,1213.4873
194,1207.883
195,1210.023
196,1221.6392
197,1207.7444
198,1189.7859
199,1244.5109
200,1257.9604
201,1253.2122
202,1245.6946
203,1242.6932
204,1245.955
205,1256.803
206,1283.4495
207,1285.7792
208,1308.4287
209,1291.386
210,1300.0913
211,1311.0945
212,1361.6069
213,1334.4541
214,1348.918
215,1333.6995
216,1353.8948
217,1364.0593
218,1376.1758
219,1385.2488
220,1367.0387
221,1370.2462
222,1388.4207
223,1401.2191
224,1392.9038
225,1430.1787
226,1411.1257
227,1412.0195
228,1411.5918
229,1398.8655
230,1405.7529
231,1376.6007
232,1413.2858
233,1409.3037
234,1404.0054
235,1418.1454
236,1417.4265
237,1413.1017
238,1397.4142
239,1421.3901
240,1423.679
241,1439.7799
242,1421.2432
243,1419.052
244,1404.7682
245,1414.1418
246,1407.0527
247,1422.522
248,1403.7295
249,1411.646
250,1397.4639
251,1386.8197
252,1382.5935
253,1370.9482
254,1369.3204
255,1351.689
256,1395.4607
257,1387.9956
258,1347.5275
259,1370.7947
260,1353.1309
261,1342.0505
262,1354.3445
263,1347.4526
264,1324.2593
265,1328.3054
266,1295.1322
267,1320.557
268,1313.9556
269,1293.7338
270,1292.7673
271,1280.1846
272,1275.8918
273,1279.9813
274,1271.4438
275,1262.1844
276,1248.8911
277,1239.5277
278,1241.8071
279,1233.71
280,1236.7438
281,1210.3535
282,1228.6537
283,1217.6063
284,1207.789
285,1209.4713
286,1193.4523
287,1195.7151
288,1207.5653
289,1185.6736
