step,demand_adjustment
0,1204.1245
1,1199.9777
2,1173.5132
3,1171.8812
4,1167.1089
5,1158.3225
6,1157.8606
7,1153.0223
8,1149.4209
9,1151.9698
10,1144.4019
11,1150.7766
12,1139.1646
13,1134.6713
14,1127.142
15,1122.9148
16,1133.2203
17,1126.6892
18,1134.1102
19,1128.6309
20,1121.3877
21,1119.3381
22,1123.8494
23,1111.384
24,1119.7356
25,1120.5232
26,1109.4673
27,1100.1154
28,1103.9105
29,1111.4524
30,1101.4163
31,1093.8657
32,1089.6486
33,1095.8933
34,1098.0594
35,1091.1544
36,1108.5043
37,1098.7797
38,1096.8245
39,1100.1445
40,1083.1216
41,1098.1125
42,1091.8912
43,1099.762
44,1096.0831
45,1092.3025
46,1080.4495
47,1089.6472
48,1091.5016
49,1079.3505
50,1103.4283
51,1100.3119
52,1103.6973
53,1112.5098
54,1112.0223
55,1125.8214
56,1120.531
57,1113.8195
58,1110.5371
59,1132.1969
60,1115.2238
61,1119.792
62,1111.5342
63,1110.23
64,1136.6306
65,1129.0457
66,1138.1172
67,1141.1731
68,1145.4624
69,1150.9241
70,1177.0706
71,1166.3086
72,1166.2758
73,1173.8286
74,1187.154
75,1200.2838
76,1204.1688
77,1234.9963
78,1226.6578
79,1254.4073
80,1250.4785
81,1274.02
82,1247.6915
83,1265.1318
84,1275.094
85,1288.4281
86,1279.2125
87,1288.3027
88,1297.3774
89,1292.6528
90,1290.6398
91,1294.9612
92,1282.364
93,1292.1372
94,1288.2451
95,1301.8497
96,1298.9675
97,1295.6565
98,1322.3604
99,1312.3381
100,1314.9163
101,1316.937
102,1309.4788
103,1312.959
104,1326.7385
105,1309.9635
106,1305.4111
107,1302.1348
108,1282.2087
109,1279.7198
110,1249.043
111,1248.4119
112,1238.6345
113,1249.5516
114,1231.5444
115,1235.8464
116,1209.7882
117,1195.1793
118,1197.2837
119,1177.2788
120,1161.2335
121,1132.5228
122,1176.3259
123,1162.098
124,1183.1837
125,1183.1821
126,1154.9761
127,1140.951
128,1136.3142
129,1131.3851
130,1117.1373
131,1162.885
132,1158.8589
133,1185.4991
134,1183.7001
135,1163.6521
136,1153.3331
137,1156.9604
138,1123.731
139,1131.389
140,1114.9058
141,1160.7614
142,1192.1104
143,1199.6853
144,1198.6082
145,1181.5293
146,1161.1256
147,1193.784
148,1205.0647
149,1185.8035
150,1180.3712
151,1161.0193
152,1141.9167
153,1159.7483
154,1161.372
155,1165.0155
156,1150.6113
157,1149.365
158,1164.9647
159,1144.8367
160,1129.2201
161,1138.6049
162,1094.9651
163,1136.8198
164,1131.8672
165,1122.8835
166,1124.0293
167,1136.2968
168,1141.046
169,1137.9692
170,1134.4307
171,1140.1643
172,1140.7202
173,1141.6598
174,1149.8574
175,1163.3364
176,1191.0914
177,1175.9226
178,1181.612
179,1160.9564
180,1142.8501
181,1130.4524
182,1160.5198
183,1163.5529
184,1165.437
185,1140.091
186,1136.7477
187,1147.7809
188,1116.679
189,1144.9409
190,1136.1555
191,1146.2078
192,1118.841
193,1126.2933
194,1166.182
195,1165.8923
196,1178.1833
197,1145.5759
198,1143.7292
199,1184.4915
200,1165.2358
201,1165.9346
202,1133.6006
203,1161.361
204,1181.5057
205,1159.6714
206,1195.1282
207,1193.4641
208,1223.6082
209,1218.6713
210,1220.8499
211,1219.5292
212,1243.5754
213,1265.5621
214,1274.8263
215,1257.4481
216,1310.149
217,1322.5547
218,1335.0629
219,1344.0077
220,1346.8921
221,1349.8474
222,1360.7521
223,1384.5227
224,1403.8981
225,1408.6025
226,1430.5641
227,1438.7572
228,1431.0886
229,1450.1936
230,1444.2434
231,1451.254
232,1454.9689
233,1453.4476
234,1458.2937
235,1464.9482
236,1469.7096
237,1462.7664
238,1478.1962
239,1473.6691
240,1458.2349
241,1474.0104
242,1470.2693
243,1462.8303
244,1450.1532
245,1456.6213
246,1461.9349
247,1446.4729
248,1444.717
249,1452.2755
250,1439.8707
251,1437.281
252,1450.1401
253,1441.1785
254,1417.5453
255,1442.7439
256,1405.7502
257,1412.1674
258,1405.9464
259,1394.1222
260,1390.453
261,1384.6688
262,1390.2651
263,1344.7363
264,1378.7507
265,1370.1227
266,1367.0087
267,1350.8292
268,1365.3624
269,1342.6014
270,1321.8604
271,1348.2091
272,1328.7942
273,1330.3
274,1349.4944
275,1325.7986
276,1326.7982
277,1320.7723
278,1308.104
279,1298.3374
280,1287.7385
281,1283.2057
282,1270.6475
283,1283.1144
284,1254.4581
285,1257.3984
286,1241.1752
287,1255.9044
288,1249.833
289,1235.3279
290,1234.0686
291,1213.7463
292,1231.0294
293,1214.0393
294,1210.7689
295,1195.5615
296,1189.5321
297,1180.1062
298,1179.0088
299,1176.2587
300,1166.9535
301,1152.7352
