ev_id,connection_minutes_5min,required_soc_percent
398,105,24.0
399,123,20.848
400,88,19.558
401,61,5.654
402,118,30.0
403,75,59.004
404,115,10.994
405,121,8.862
406,96,23.66
407,120,12.57
408,140,22.598
409,98,57.228
410,106,29.094
411,68,9.378
412,111,9.302
413,106,17.008
414,110,13.694
415,108,32.678
416,85,28.034
417,42,36.998
418,111,12.684
419,114,7.338
420,69,7.684
421,50,32.0
422,66,34.0
423,18,11.406
424,52,11.934
425,18,9.344
426,22,8.188
427,33,48.0
428,31,17.258
429,19,20.132
430,129,11.658
431,117,20.0
432,119,25.974
433,122,22.22
434,113,11.282
435,126,27.64
436,117,14.906
437,67,36.368
438,112,15.45
439,116,35.0
440,107,32.0
441,127,14.254
442,118,6.432
443,103,21.646
444,103,21.74
445,119,20.0
446,110,7.828
447,102,29.294
448,135,12.942
449,124,23.434
450,115,27.986
451,150,40.0
452,49,18.738
453,115,24.0
454,112,11.12
455,128,53.374
456,86,23.88
457,113,34.546
458,108,23.148
459,48,30.0
460,4,2.282
461,99,6.66
462,33,8.746
463,54,13.648
464,148,58.796
465,120,30.0
466,117,20.3
467,107,18.576
468,82,26.64
469,54,9.35
470,108,48.526
471,114,13.76
472,97,16.0
473,117,12.018
474,25,14.168
475,88,17.084
476,82,10.21
477,108,24.62
478,106,22.372
479,104,21.37
480,114,7.01
481,25,1.12
482,71,32.0
483,69,18.98
484,57,6.484
485,68,8.0
486,37,2.522
487,15,14.978
488,56,1.222
489,12,6.74
490,62,26.698
491,25,18.85
492,49,34.0
493,8,7.992
494,30,32.208
495,124,40.0
496,141,6.682
497,62,50.39
498,119,23.492
499,97,22.52
500,91,11.63
501,103,27.748
502,103,30.0
503,102,16.174
504,117,44.872
505,131,13.292
506,105,24.55
507,99,7.38
508,49,23.698
509,76,50.618
510,106,20.0
511,153,15.21
512,65,8.984
513,135,6.3
514,104,59.842
515,112,5.8
516,66,48.0
517,51,44.75
518,124,18.988
519,101,24.0
520,42,11.12
521,63,10.988
522,92,54.306
523,92,23.09
524,89,17.978
525,101,48.49
526,96,45.054
527,34,13.93
528,51,13.444
529,61,55.302
530,21,14.006
531,36,30.0
532,103,20.3
533,105,18.876
534,107,11.016
535,61,11.188
536,73,40.344
537,105,21.046
538,99,17.676
539,21,5.314
540,96,14.914
541,121,7.016
542,88,5.324
543,97,62.912
544,62,32.85
545,59,25.418
546,50,2.436
547,60,49.144
548,70,20.632
549,75,42.5
550,38,29.77
551,51,52.518
552,40,4.696
553,49,4.296
554,52,54.988
555,31,30.402
556,28,40.0
557,36,16.054
558,29,6.608
559,5,4.822
560,19,19.818
561,21,21.884
562,76,40.0
563,15,24.0
564,43,29.928
565,55,57.458
566,20,9.918
567,27,9.048
568,24,24.0
569,117,30.0
570,122,34.848
571,142,16.0
572,122,100.0
573,115,28.426
574,106,40.0
575,105,23.688
576,112,36.0
577,113,20.0
578,132,20.3
579,104,24.0
580,74,34.844
581,103,18.4
582,38,12.562
583,123,45.0
584,119,7.4
585,114,24.0
586,135,10.038
587,115,62.65
588,125,34.2
589,152,14.338
590,17,20.0
591,55,34.838
592,109,100.0
593,100,24.566
594,104,32.0
595,49,27.024
596,96,32.0
597,114,32.0
598,114,16.0
599,117,28.32
600,110,11.3
601,124,23.95
602,114,16.0
603,49,16.0
604,131,11.582
605,90,25.0
606,38,21.068
607,116,18.0
608,102,10.458
609,111,36.0
610,105,34.89
611,104,32.828
612,179,32.0
613,77,24.0
614,71,32.0
615,48,64.0
616,7,16.0
617,37,24.25
618,63,34.718
619,113,56.0
620,29,10.0
621,17,15.956
622,25,13.616
623,39,24.0
624,17,12.69
625,6,3.558
626,118,40.0
627,121,7.686
628,65,24.986
629,120,23.188
630,139,24.0
631,59,11.656
632,8,40.0
633,137,7.0
634,112,36.0
635,115,35.0
636,119,38.248
637,112,28.168
638,124,28.0
639,114,32.0
640,121,32.0
641,111,80.0
642,113,56.0
643,109,19.434
644,107,30.25
645,59,30.988
646,121,100.0
647,131,19.98
648,81,24.0
649,145,12.022
650,107,20.0
651,122,42.0
652,85,32.0
653,109,34.862
654,41,23.392
655,93,32.0
656,113,37.5
657,124,24.0
658,45,23.382
659,108,11.12
660,98,23.328
661,17,24.93
662,84,35.182
663,64,23.952
664,73,22.51
665,72,15.738
666,26,12.438
667,65,22.66
668,64,18.98
669,67,12.606
670,18,25.38
671,79,13.174
672,87,14.7
673,83,34.98
674,111,14.348
675,78,9.448
676,76,6.194
677,17,13.17
678,20,19.722
679,118,16.0
680,55,20.85
681,141,32.0
682,85,42.5
683,60,22.724
684,25,6.636
685,35,44.0
686,27,11.13
687,23,24.0
688,43,50.0
689,17,17.23
690,117,40.0
691,118,38.448
692,106,24.0
693,133,40.0
694,110,11.19
695,119,24.84
696,117,36.0
697,93,35.0
698,121,32.0
699,104,24.19
700,95,31.738
701,114,35.134
702,111,48.0
703,107,24.0
704,117,28.0
705,96,32.0
706,110,97.8
707,84,20.192
708,155,13.754
709,109,26.11
710,123,100.0
711,42,6.66
712,56,12.77
713,113,30.0
714,66,35.272
715,49,35.9
716,52,40.0
717,102,26.624
718,115,37.5
719,43,19.98
720,80,32.0
721,90,16.0
722,160,14.168
723,113,30.25
724,137,11.128
725,108,32.0
726,121,20.0
727,107,34.628
728,98,25.0
729,109,10.334
730,112,100.0
731,114,33.344
732,115,32.0
733,108,24.804
734,32,9.766
735,111,72.0
736,125,33.504
737,98,35.904
738,40,80.0
739,43,60.0
740,99,30.0
741,52,33.3
742,42,100.0
743,72,24.0
744,61,15.302
745,54,42.5
746,36,22.426
747,26,21.448
748,33,32.0
749,25,27.8
750,14,7.598
751,21,16.48
752,12,8.476
753,34,50.0
754,14,14.738
755,117,46.64
756,118,40.0
757,61,34.888
758,102,34.846
759,95,40.0
760,58,11.422
761,113,32.0
762,117,18.566
763,116,34.796
764,110,36.0
765,56,35.0
766,116,22.732
767,135,7.0
768,103,24.0
769,44,17.816
770,121,40.0
771,124,30.0
772,120,26.11
773,121,10.79
774,64,21.78
775,108,24.792
776,134,10.058
777,109,14.394
778,110,24.0
779,123,7.55
780,113,100.0
781,43,32.0
782,114,37.5
783,54,11.12
784,45,34.78
785,114,24.0
786,97,13.26
787,124,12.068
